community_id,ChinaInfluence,ChinaTaiwan,ClimateEnvironment,Economics,Entertainment,GazaConflict,HealthMedical,Immigration,Iran,OtherConflicts,Politics,Scams,SyriaWar,Technology,UkraineConflict
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347016999736665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361637425842041,0.0794004914449658,0.0,0.0,0.6866110661097558,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.292386185243328,0.0,0.0,0.0,0.0,0.0,0.0,0.0120355834641548,0.0,0.0
5.0,0.11333266351853699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.1126192037943386,0.0,0.0,0.1732680760886018,0.0,0.0155910994500227,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0710301305799326,0.0,0.0,0.0,0.0,0.3764843430857432,0.0,0.0,0.0,0.1914608894085164
8.0,0.0,0.079461620769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.075105370496261,0.0,0.0,0.0,0.2547382732834806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233446634942216,0.0
11.0,0.0,0.1618848167539266,0.0948691099476438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0374110405847278,0.0,0.0,0.0,0.0,0.0,0.0,0.2403346797461049,0.06001154068089991,0.0,0.0,0.0,0.0,0.0,0.0928063089055587
13.0,0.0,0.0,0.0273667923798472,0.0,0.0,0.1620733004545014,0.0,0.0,0.0,0.0147954743255004,0.0,0.0,0.0,0.0,0.2874963736582533
14.0,0.0,0.0,0.0,0.0,0.1205558871174013,0.0,0.0,0.0,0.0,0.0,0.0,0.2196265666297212,0.0,0.0400716173586836,0.0
15.0,0.0,0.0,0.0580018624451242,0.055607290142344,0.0,0.0,0.0,0.0,0.0,0.033524012238925,0.1826526539843022,0.0,0.024743913795397,0.0806172675269388,0.0
16.0,0.0,0.0,0.0,0.1842794759825325,0.0,0.0,0.0,0.159825327510917,0.0334788937409024,0.0563318777292576,0.0,0.1085880640465793,0.0393013100436681,0.0,0.0
17.0,0.0,0.27654609101516914,0.0,0.0,0.39906651108518065,0.0,0.0,0.0,0.0,0.0,0.0,0.3360560093348889,0.0,0.0,0.0
