community_id,ChinaInfluence,ChinaTaiwan,ClimateEnvironment,Economics,Entertainment,GazaConflict,HealthMedical,Immigration,Iran,OtherConflicts,Politics,Scams,SyriaWar,Technology,UkraineConflict
0.0,0.0,0.0,0.0,0.0,0.0,0.1397847493116982,0.170124962608892,0.0,0.0308896336587122,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0654962480532351,0.3413846807305676,0.0,0.0,0.0,0.0,0.0,0.0,0.0792297890414836,0.0
2.0,0.0,0.0,0.0543055271088742,0.0,0.0,0.0,0.69403399947333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0271199786406976,0.0,0.0,0.0,0.89360623764034,0.2382014743348974,0.0,0.0,1.144351776849593,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.48731030873888,0.0,0.0,0.0,0.0,0.0,0.0,0.0361067503924644,0.0,0.0872579801151229
5.0,0.188887772530895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388827489199236,0.0
6.0,0.0,0.0,0.0,0.2252384075886772,0.2363388667440334,0.0,0.5198042282658054,0.1584338261264442,0.046773298350068104,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.2130903917397978,0.0,0.0,0.0153540589652209,0.0,0.7529686861714864,0.0,0.0240030426392076,0.0,0.3829217788170328
8.0,0.0,0.23838486230782202,0.0,0.0548516078166356,0.1164047981077884,0.0,0.0,0.0,0.0,0.0,0.0,0.2124232696964576,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119752121482804,0.0,0.1753014738722644
10.0,0.150210740992522,0.0,0.0,0.0,0.5094765465669612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20557443915703602,0.0
11.0,0.0,0.3237696335078532,0.158115183246073,0.110785340314136,0.0,0.0,0.0,0.0,0.0,0.0,0.1633507853403141,0.0,0.0,0.0,0.0
12.0,0.1122331217541834,0.1536834006539718,0.0,0.0,0.0,0.0,0.0,0.40055779957684146,0.1000192344681665,0.0276976341604154,0.0,0.0,0.0,0.0,0.2784189267166761
13.0,0.0,0.0767817425780872,0.0821003771395416,0.0,0.0,0.3241466009090028,0.0,0.0,0.0,0.0443864229765012,0.0,0.0,0.0,0.0,0.4791606227637555
14.0,0.0,0.0,0.0,0.0,0.3616676613522039,0.0,0.0,0.0,0.0,0.0,0.0,0.4392531332594424,0.0,0.1202148520760508,0.0
15.0,0.0,0.0,0.1160037248902484,0.166821870427032,0.0,0.0,0.0,0.0786217906079553,0.0,0.06704802447785,0.5479579619529066,0.1060263402953305,0.049487827590794,0.1612345350538776,0.0
16.0,0.0372634643377001,0.0,0.0,0.3071324599708875,0.0,0.0,0.0,0.319650655021834,0.0669577874818048,0.09388646288209601,0.3344978165938864,0.3257641921397379,0.0655021834061135,0.0,0.0
17.0,0.0746791131855308,0.4609101516919485,0.0,0.0,0.6651108518086345,0.0,0.0,0.0,0.0,0.0128354725787631,0.0,0.5600933488914815,0.0,0.0,0.0
